2400 2.516046     2.537290     2.593080     2.621015     2.649860
2700 3.163380     3.766048     3.153231     3.255076     3.255898
3000 4.004731     4.074888     4.057867     4.132334     4.015500
3300 5.365486     5.774422     6.010931     5.123030     5.108179
3600 6.014544     7.253630     6.371562     6.322276     6.032015
3900 7.137682     8.536974     7.250421     6.787461     7.169944
4200 8.104727     8.709215     8.190980     7.849464     8.170572
4500 9.331579     10.327116    9.626382     9.279640     9.186668
4800 10.563390    11.369148    10.903895    10.579575    10.378124
5100 11.976501    12.082715    11.767252    11.645623    11.453728
5400 13.074632    13.397649    13.366525    13.104667    13.036798
5700 14.428674    14.805360    14.833104    14.627679    14.380796
6000 16.269154    16.455215    16.518467    15.913958    15.833936
