3000  4.329110   4.370142    4.355909   4.331051   4.390293
4000  7.694644   7.745713    7.649156   7.723723   7.724429
5000  12.045712  11.953814   11.965010  11.942307  12.021346
6000  17.193842  17.293788   17.319207  17.305463  17.359588
7000  23.494821  23.638854   23.540633  23.537385  23.575915
8000  30.772901  30.790987   30.757911  30.522225  30.771343
9000  38.813152  38.798222   38.910066  38.864112  38.905939
10000 47.627942  47.831025   47.742720  47.725478  47.919190
11000 57.840999  57.590499   58.175326  58.032223  57.995454
12000 68.814624  68.584374   69.287396  69.038660  69.165915
13000 80.944780  80.663774   80.777523  80.575810  80.388514
14000 93.744878  93.293888   94.169893  93.412450  93.531184
15000 107.277476 107.160064 107.735584 107.647156 107.017124
16000 121.724522 122.272494 121.631544 122.179185 122.614254
17000 138.743138 137.895405 138.422591 137.616457 137.406532
18000 154.295853 155.214377 154.276737 154.267017 155.017689
19000 172.641016 171.779556 171.714553 172.258458 173.328190
20000 190.487212 191.302061 190.853243 190.927974 190.532074
